clade_or_herv,elements_within_herv_or_clade
Clade_64,LTR7-588_HERVH-823_int-2975_LTR7Y-71_LTR7B-121_LTR7C-42_LTR7A-3_MER66-11_MER66B-1_MER50-15_MER52-54_MER52C-1_HERV1-30_LTRd-1_I-50_PABL-37_B-37_LTR9-5_HUERS-51_P3-50_HERVIP10F-43_LTR10A-19_Harlequin-4_LTR2-1_LTR10B2-8_HERVIP10B3-34_HERV3-43_LTR4-12_LTR13-8_HERVK13-9_HERVK11-44_MER11C-18_HERVL32-6_LTR32-4_ERVL47-6_LTR47A2-2_HERVI-13_LTR10D-5_LTR9C-6_P3b-1_LTR9B-1_LTRc-8_LTR61-11_PRIMA41-40_PRIMA4-22_LTR-10_HERVK22-100_MER57A-16_HERVK9-168_MER9a3-83_MER57D-1_ERV24B-17_Prim-39_LTR24B-9_LTR14-6_HERVKC4-8_HERVK-61_ERV24-22_HERVS71-37_LTR6B-20_HERVFH19-14_LTR19B-1_LTR46-22_HERVFH21-22_LTR21A-8_LTR21B-7_LTR21C-3_HERVH48-30_MER48-29_MER84-10_LTR14C-12_HERVK14C-12_LTR53-3_LTR47B4-1_LTR47B3-2_LTR47B2-1_LTR57-16_MER70-2_MER70C-1_LTR76-10_HERVL18-37_LTR18A-24_LTR18C-8_LTR18B-5_LTR17-104_HERV17-116_LTR12-35_HERV9N-36_HERV9-91_LTR12F-34_LTR12C-41_HERV9NC-85_HERV30-18_LTR12D-21_-23_LTR12B-4_HERVL-452_MLT2A2-144_LTR30-14_HERV4-35_LTR27E-8_LTR27D-9_LTR28B-4_LTR1D1-6_LTR28C-4_LTR9D-3_LTR9A1-10_LTR25-2_MER66A-1_MER51E-6_MER51A-16_ERVL-47_E-5_LTR41-1_MER41E-1_MER41C-18_MER66C-1_MER41D-2_LTR6A-17_LTRe-5_LTR15-12_HERV15-14_LTRa-2_B4-34_MER70B-1_HERVE-108_a-30_LTR2C-36_MER57C1-1_LTR39-2_MER83A-1_LTR10B1-10_LTR10G-10_HERVIP10FH-2_LTR10E-1_MER4E-2_MER4B-3_MER101-1_LOR1-4_LTR22-9_LTR5-26_Hs-26_MER110-1_HERVK11D-10_MER11D-10_LTR24-7_PRIMAX-1_MER89-2_MER57C2-1_LTR22C2-2_LTR22C0-17_LTR22E-17_LTR22B1-17_LTR22A-17_LTR22B-4_ERV3-2_16A3-2_MER34D-1_MER34-1_HERVK14-32_LTR14B-16_LTR14A-13_MER11A-13_MER11B-17_LTR5B-17_LTR5A-12_LTR45C-1_MER9B-5_MER9a2-41_MER9a1-29_LTR10B-3_LTR71A-14_HERVP71A-22_LTR71B-7_MLT2D-4_MLT2B4-6_MLT2A1-283_MLT2B2-2_MLT2B1-13_MLT2B3-1_MLT2C1-2_LOR1a-2_LTR3B-28_HERVK3-60_LTR3-12_LTR3A-20_LTRb-1_LTR66-1_HERVL66-1_LTR16-1_MER66D-3_LTR52-4_HERV-12_Fc2-2_Fc1-10_LTR1-4_MER57E3-1
Clade_65,LTR7-12_HERVH-12_int-12_LTR7Y-1
Clade_66,LTR7-6_HERVH-6_int-6_LTR7Y-1
Clade_67,LTR7-4_HERVH-4_int-4_LTR7Y-1
ERV_3388689,ERV_3388689_LTR7Y_LTR7_HERVH_int
Clade_68,LTR7-3_HERVH-3_int-3
ERV_3366549,ERV_3366549_LTR7_HERVH_int
Clade_69,LTR7-2_HERVH-2_int-2
ERV_3066787,ERV_3066787_LTR7_HERVH_int
ERV_2999896,ERV_2999896_LTR7_HERVH_int
Clade_70,LTR7-2_HERVH-2_int-2
ERV_3272960,ERV_3272960_LTR7_HERVH_int
ERV_2997502,ERV_2997502_LTR7_HERVH_int
Clade_71,LTR7-6_HERVH-6_int-6
Clade_72,LTR7-2_HERVH-2_int-2
ERV_1919445,ERV_1919445_LTR7_HERVH_int
ERV_1448997,ERV_1448997_LTR7_HERVH_int
Clade_73,LTR7-4_HERVH-4_int-4
ERV_4266755,ERV_4266755_LTR7_HERVH_int
Clade_74,LTR7-3_HERVH-3_int-3
ERV_4066961,ERV_4066961_LTR7_HERVH_int
Clade_75,LTR7-2_HERVH-2_int-2
ERV_4071946,ERV_4071946_LTR7_HERVH_int
ERV_4069473,ERV_4069473_LTR7_HERVH_int
Clade_76,HERVH-811_int-2963_LTR7-576_LTR7Y-70_LTR7B-121_LTR7C-42_LTR7A-3_MER66-11_MER66B-1_MER50-15_MER52-54_MER52C-1_HERV1-30_LTRd-1_I-50_PABL-37_B-37_LTR9-5_HUERS-51_P3-50_HERVIP10F-43_LTR10A-19_Harlequin-4_LTR2-1_LTR10B2-8_HERVIP10B3-34_HERV3-43_LTR4-12_LTR13-8_HERVK13-9_HERVK11-44_MER11C-18_HERVL32-6_LTR32-4_ERVL47-6_LTR47A2-2_HERVI-13_LTR10D-5_LTR9C-6_P3b-1_LTR9B-1_LTRc-8_LTR61-11_PRIMA41-40_PRIMA4-22_LTR-10_HERVK22-100_MER57A-16_HERVK9-168_MER9a3-83_MER57D-1_ERV24B-17_Prim-39_LTR24B-9_LTR14-6_HERVKC4-8_HERVK-61_ERV24-22_HERVS71-37_LTR6B-20_HERVFH19-14_LTR19B-1_LTR46-22_HERVFH21-22_LTR21A-8_LTR21B-7_LTR21C-3_HERVH48-30_MER48-29_MER84-10_LTR14C-12_HERVK14C-12_LTR53-3_LTR47B4-1_LTR47B3-2_LTR47B2-1_LTR57-16_MER70-2_MER70C-1_LTR76-10_HERVL18-37_LTR18A-24_LTR18C-8_LTR18B-5_LTR17-104_HERV17-116_LTR12-35_HERV9N-36_HERV9-91_LTR12F-34_LTR12C-41_HERV9NC-85_HERV30-18_LTR12D-21_-23_LTR12B-4_HERVL-452_MLT2A2-144_LTR30-14_HERV4-35_LTR27E-8_LTR27D-9_LTR28B-4_LTR1D1-6_LTR28C-4_LTR9D-3_LTR9A1-10_LTR25-2_MER66A-1_MER51E-6_MER51A-16_ERVL-47_E-5_LTR41-1_MER41E-1_MER41C-18_MER66C-1_MER41D-2_LTR6A-17_LTRe-5_LTR15-12_HERV15-14_LTRa-2_B4-34_MER70B-1_HERVE-108_a-30_LTR2C-36_MER57C1-1_LTR39-2_MER83A-1_LTR10B1-10_LTR10G-10_HERVIP10FH-2_LTR10E-1_MER4E-2_MER4B-3_MER101-1_LOR1-4_LTR22-9_LTR5-26_Hs-26_MER110-1_HERVK11D-10_MER11D-10_LTR24-7_PRIMAX-1_MER89-2_MER57C2-1_LTR22C2-2_LTR22C0-17_LTR22E-17_LTR22B1-17_LTR22A-17_LTR22B-4_ERV3-2_16A3-2_MER34D-1_MER34-1_HERVK14-32_LTR14B-16_LTR14A-13_MER11A-13_MER11B-17_LTR5B-17_LTR5A-12_LTR45C-1_MER9B-5_MER9a2-41_MER9a1-29_LTR10B-3_LTR71A-14_HERVP71A-22_LTR71B-7_MLT2D-4_MLT2B4-6_MLT2A1-283_MLT2B2-2_MLT2B1-13_MLT2B3-1_MLT2C1-2_LOR1a-2_LTR3B-28_HERVK3-60_LTR3-12_LTR3A-20_LTRb-1_LTR66-1_HERVL66-1_LTR16-1_MER66D-3_LTR52-4_HERV-12_Fc2-2_Fc1-10_LTR1-4_MER57E3-1
Clade_77,HERVH-615_int-2767_LTR7-474_LTR7Y-6_LTR7B-89_LTR7C-42_LTR7A-3_MER66-11_MER66B-1_MER50-15_MER52-54_MER52C-1_HERV1-30_LTRd-1_I-50_PABL-37_B-37_LTR9-5_HUERS-51_P3-50_HERVIP10F-43_LTR10A-19_Harlequin-4_LTR2-1_LTR10B2-8_HERVIP10B3-34_HERV3-43_LTR4-12_LTR13-8_HERVK13-9_HERVK11-44_MER11C-18_HERVL32-6_LTR32-4_ERVL47-6_LTR47A2-2_HERVI-13_LTR10D-5_LTR9C-6_P3b-1_LTR9B-1_LTRc-8_LTR61-11_PRIMA41-40_PRIMA4-22_LTR-10_HERVK22-100_MER57A-16_HERVK9-168_MER9a3-83_MER57D-1_ERV24B-17_Prim-39_LTR24B-9_LTR14-6_HERVKC4-8_HERVK-61_ERV24-22_HERVS71-37_LTR6B-20_HERVFH19-14_LTR19B-1_LTR46-22_HERVFH21-22_LTR21A-8_LTR21B-7_LTR21C-3_HERVH48-30_MER48-29_MER84-10_LTR14C-12_HERVK14C-12_LTR53-3_LTR47B4-1_LTR47B3-2_LTR47B2-1_LTR57-16_MER70-2_MER70C-1_LTR76-10_HERVL18-37_LTR18A-24_LTR18C-8_LTR18B-5_LTR17-104_HERV17-116_LTR12-35_HERV9N-36_HERV9-91_LTR12F-34_LTR12C-41_HERV9NC-85_HERV30-18_LTR12D-21_-23_LTR12B-4_HERVL-452_MLT2A2-144_LTR30-14_HERV4-35_LTR27E-8_LTR27D-9_LTR28B-4_LTR1D1-6_LTR28C-4_LTR9D-3_LTR9A1-10_LTR25-2_MER66A-1_MER51E-6_MER51A-16_ERVL-47_E-5_LTR41-1_MER41E-1_MER41C-18_MER66C-1_MER41D-2_LTR6A-17_LTRe-5_LTR15-12_HERV15-14_LTRa-2_B4-34_MER70B-1_HERVE-108_a-30_LTR2C-36_MER57C1-1_LTR39-2_MER83A-1_LTR10B1-10_LTR10G-10_HERVIP10FH-2_LTR10E-1_MER4E-2_MER4B-3_MER101-1_LOR1-4_LTR22-9_LTR5-26_Hs-26_MER110-1_HERVK11D-10_MER11D-10_LTR24-7_PRIMAX-1_MER89-2_MER57C2-1_LTR22C2-2_LTR22C0-17_LTR22E-17_LTR22B1-17_LTR22A-17_LTR22B-4_ERV3-2_16A3-2_MER34D-1_MER34-1_HERVK14-32_LTR14B-16_LTR14A-13_MER11A-13_MER11B-17_LTR5B-17_LTR5A-12_LTR45C-1_MER9B-5_MER9a2-41_MER9a1-29_LTR10B-3_LTR71A-14_HERVP71A-22_LTR71B-7_MLT2D-4_MLT2B4-6_MLT2A1-283_MLT2B2-2_MLT2B1-13_MLT2B3-1_MLT2C1-2_LOR1a-2_LTR3B-28_HERVK3-60_LTR3-12_LTR3A-20_LTRb-1_LTR66-1_HERVL66-1_LTR16-1_MER66D-3_LTR52-4_HERV-12_Fc2-2_Fc1-10_LTR1-4_MER57E3-1
Clade_78,HERVH-2_int-2_LTR7-1
ERV_2124290,ERV_2124290_HERVH_int
ERV_2208090,ERV_2208090_LTR7_HERVH_int
